step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAP_pcutoff,metrics/test.mAR,metrics/test.mAR_pcutoff,metrics/test.rmse,metrics/test.rmse_pcutoff
1,0.0007723246235400438,0.24603255093097687,0.006536975968629122,0.006536975968629122,0.0016675041988492012,0.36574774980545044,0.009977445937693119,0.009977445937693119,0.561056105610561,0.0,1.6666666666666667,0.0,24.528474807739258,18.649295806884766
2,0.0007757224957458675,0.20002973079681396,0.00538860447704792,0.00538860447704792,0.00118629343342036,0.18124979734420776,0.005124392919242382,0.005124392919242382,22.524752475247524,12.970297029702971,30.0,16.666666666666664,8.58863353729248,4.370119571685791
3,0.0005829269648529589,0.12207406014204025,0.003343314863741398,0.003343314863741398,0.0009280855301767588,0.140486940741539,0.0039762165397405624,0.0039762165397405624,44.52970297029703,21.871287128712876,45.0,25.0,7.535678386688232,8.001282691955566
4,0.0006657395861111581,0.11729233711957932,0.003265178529545665,0.003265178529545665,0.0008105445303954184,0.1297951489686966,0.0036501504946500063,0.0036501504946500063,28.935643564356432,28.935643564356432,38.33333333333333,38.33333333333333,28.257862091064453,28.257862091064453
5,0.00038141958066262305,0.1088995411992073,0.0029131982009857893,0.0029131982009857893,0.0004715370596386492,0.09395930916070938,0.002584750996902585,0.002584750996902585,52.71287128712871,52.71287128712871,53.333333333333336,53.333333333333336,3.7821693420410156,3.7821693420410156
6,0.000347442488418892,0.08965287357568741,0.0024150433018803596,0.0024150433018803596,0.0003362470888532698,0.07999571412801743,0.0021680165082216263,0.0021680165082216263,60.618811881188115,60.618811881188115,63.33333333333334,63.33333333333334,3.3863797187805176,3.3863797187805176
7,0.0003743648703675717,0.08317408710718155,0.0022665350697934628,0.0022665350697934628,0.00035288502112962306,0.0811646580696106,0.002205559052526951,0.002205559052526951,60.742574257425744,24.17161716171617,61.66666666666667,25.0,3.5708682537078857,3.411868095397949
8,0.00019336499099154025,0.06309715658426285,0.0016741113504394889,0.0016741113504394889,0.00033972898381762207,0.0690758228302002,0.0018967600772157311,0.0018967600772157311,63.26732673267327,63.26732673267327,65.00000000000001,65.00000000000001,2.88344669342041,2.88344669342041
9,0.00018366922449786216,0.0699760839343071,0.0018412364879623055,0.0018412364879623055,0.00023411439906340092,0.059677593410015106,0.0016089968848973513,0.0016089968848973513,59.445544554455445,59.445544554455445,61.66666666666667,61.66666666666667,3.2530736923217773,3.2530736923217773
10,0.00021323222608771175,0.05099746212363243,0.001381552778184414,0.001381552778184414,0.00022525680833496153,0.06355422735214233,0.001701484085060656,0.001701484085060656,76.73267326732673,76.73267326732673,78.33333333333333,78.33333333333333,2.261795997619629,2.261795997619629
11,0.00028872446273453534,0.06932062655687332,0.0018773777410387993,0.0018773777410387993,0.0002861179818864912,0.056841008365154266,0.001564084435813129,0.001564084435813129,74.3069306930693,74.3069306930693,76.66666666666666,76.66666666666666,2.4579687118530273,2.4579687118530273
